ac;ac_sn;;;;;;;;;;;;;;;;;;;;;;
EC-MTD;2318;;;;;;;;;;;;;;;;;;;;;;
EC-MTE;2332;;;;;;;;;;;;;;;;;;;;;;
EC-MTF;2382;;;;;;;;;;;;;;;;;;;;;;
EC-MTL;2053;;;;;;;;;;;;;;;;;;;;;;
EC-MTM;2062;;;;;;;;;;;;;;;;;;;;;;
EC-MTN;2113;;;;;;;;;;;;;;;;;;;;;;
EC-MUC;2122;;;;;;;;;;;;;;;;;;;;;;
EC-MUT;2240;;;;;;;;;;;;;;;;;;;;;;
EC-MUU;2253;;;;;;;;;;;;;;;;;;;;;;
EC-MUX;2037;;;;;;;;;;;;;;;;;;;;;;
EC-MUY;2050;;;;;;;;;;;;;;;;;;;;;;
EC-NBC;1884;;;;;;;;;;;;;;;;;;;;;;
EC-NBD;1901;;;;;;;;;;;;;;;;;;;;;;
EC-NCB;2043;;;;;;;;;;;;;;;;;;;;;;
EC-NDG;3364;;;;;;;;;;;;;;;;;;;;;;
EC-NDH;3403;;;;;;;;;;;;;;;;;;;;;;
EC-NGL;2879;;;;;;;;;;;;;;;;;;;;;;
EC-NHP;2870;;;;;;;;;;;;;;;;;;;;;;
EC-NNY;3786;;;;;;;;;;;;;;;;;;;;;;
EC-NNZ;2616;;;;;;;;;;;;;;;;;;;;;;
EC-NOL;2740;;;;;;;;;;;;;;;;;;;;;;
EC-NOM;3511;;;;;;;;;;;;;;;;;;;;;;
EC-NON;3576;;;;;;;;;;;;;;;;;;;;;;
EC-NOP;3597;;;;;;;;;;;;;;;;;;;;;;
EC-NOQ;3765;;;;;;;;;;;;;;;;;;;;;;
EC-NOR;3963;;;;;;;;;;;;;;;;;;;;;;
EC-NOS;4035;;;;;;;;;;;;;;;;;;;;;;
EC-NOY;2633;;;;;;;;;;;;;;;;;;;;;;
EC-NPB;3949;;;;;;;;;;;;;;;;;;;;;;
EC-NPC;3931;;;;;;;;;;;;;;;;;;;;;;
EC-NQM;4589;;;;;;;;;;;;;;;;;;;;;;
EC-NQN;4675;;;;;;;;;;;;;;;;;;;;;;
EC-NTL;3846;;;;;;;;;;;;;;;;;;;;;;
EC-NTM;3906;;;;;;;;;;;;;;;;;;;;;;
EC-NTU;5950;;;;;;;;;;;;;;;;;;;;;;
EC-NUO;5232;;;;;;;;;;;;;;;;;;;;;;
EC-NUP;5304;;;;;;;;;;;;;;;;;;;;;;
EI-DHS;33580;;;;;;;;;;;;;;;;;;;;;;
EI-DHZ;33583;;;;;;;;;;;;;;;;;;;;;;
EI-DLG;33589;;;;;;;;;;;;;;;;;;;;;;
